Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 250,778,4.00%,€ 0.32,"19,632",778,4.00%,"19,632",0,0,0,0.00%,€ 0.32,€ 12.73,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 23,17,5.80%,€ 1.36,295,17,5.80%,295,0,0,0,0.00%,€ 1.36,€ 78.10,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 165,70,6.60%,€ 2.35,"1,062",70,6.60%,"1,062",0,0,0,0.00%,€ 2.35,€ 155.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 498,419,13.90%,€ 1.19,"3,020",419,13.90%,"3,020",0,0,0,0.00%,€ 1.19,€ 165.00,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 238,692,3.70%,€ 0.34,"18,542",692,3.70%,"18,542",0,0,0,0.00%,€ 0.34,€ 12.83,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 38,26,7.90%,€ 1.48,329,26,7.90%,329,0,0,0,0.00%,€ 1.48,€ 116.68,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 155,59,6.40%,€ 2.63,928,59,6.40%,928,0,0,0,0.00%,€ 2.63,€ 167.09,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 431,399,15.50%,€ 1.08,"2,567",399,15.50%,"2,567",0,0,0,0.00%,€ 1.08,€ 167.78,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 279,769,3.80%,€ 0.36,"20,317",769,3.80%,"20,317",0,0,0,0.00%,€ 0.36,€ 13.73,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 16,12,5.20%,€ 1.32,232,12,5.20%,232,0,0,0,0.00%,€ 1.32,€ 68.03,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 196,81,7.60%,€ 2.42,"1,063",81,7.60%,"1,063",0,0,0,0.00%,€ 2.42,€ 184.55,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 407,338,14.40%,€ 1.20,"2,340",338,14.40%,"2,340",0,0,0,0.00%,€ 1.20,€ 174.02,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 235,684,4.20%,€ 0.34,"16,345",684,4.20%,"16,345",0,0,0,0.00%,€ 0.34,€ 14.36,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 39,28,9.80%,€ 1.40,287,28,9.80%,287,0,0,0,0.00%,€ 1.40,€ 136.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 181,72,7.90%,€ 2.52,915,72,7.90%,915,0,0,0,0.00%,€ 2.52,€ 198.09,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 357,316,14.10%,€ 1.13,"2,249",316,14.10%,"2,249",0,0,0,0.00%,€ 1.13,€ 158.68,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 252,645,4.40%,€ 0.39,"14,773",645,4.40%,"14,773",0,0,0,0.00%,€ 0.39,€ 17.06,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 25,20,6.80%,€ 1.25,292,20,6.80%,292,0,0,0,0.00%,€ 1.25,€ 85.76,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 196,80,8.60%,€ 2.45,931,80,8.60%,931,0,0,0,0.00%,€ 2.45,€ 210.18,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 377,336,14.50%,€ 1.12,"2,312",336,14.50%,"2,312",0,0,0,0.00%,€ 1.12,€ 163.27,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 278,773,3.50%,€ 0.36,"22,171",773,3.50%,"22,171",0,0,0,0.00%,€ 0.36,€ 12.54,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 30,26,7.80%,€ 1.16,332,26,7.80%,332,0,0,0,0.00%,€ 1.16,€ 90.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 127,59,6.70%,€ 2.14,876,59,6.70%,876,0,0,0,0.00%,€ 2.14,€ 144.42,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 426,324,13.20%,€ 1.32,"2,452",324,13.20%,"2,452",0,0,0,0.00%,€ 1.32,€ 173.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 254,781,3.90%,€ 0.32,"19,939",781,3.90%,"19,939",0,0,0,0.00%,€ 0.32,€ 12.73,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 29,30,9.30%,€ 0.95,323,30,9.30%,323,0,0,0,0.00%,€ 0.95,€ 88.50,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 136,63,7.30%,€ 2.15,860,63,7.30%,860,0,0,0,0.00%,€ 2.15,€ 157.82,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 320,269,12.50%,€ 1.19,"2,157",269,12.50%,"2,157",0,0,0,0.00%,€ 1.19,€ 148.56,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 266,803,4.70%,€ 0.33,"16,949",803,4.70%,"16,949",0,0,0,0.00%,€ 0.33,€ 15.68,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 29,22,7.20%,€ 1.30,304,22,7.20%,304,0,0,0,0.00%,€ 1.30,€ 93.75,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 95,45,6.30%,€ 2.12,710,45,6.30%,710,0,0,0,0.00%,€ 2.12,€ 134.49,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 314,275,13.20%,€ 1.14,"2,078",275,13.20%,"2,078",0,0,0,0.00%,€ 1.14,€ 151.14,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 285,688,3.50%,€ 0.41,"19,858",688,3.50%,"19,858",0,0,0,0.00%,€ 0.41,€ 14.34,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 40,24,7.90%,€ 1.66,302,24,7.90%,302,0,0,0,0.00%,€ 1.66,€ 131.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 121,51,8.20%,€ 2.38,622,51,8.20%,622,0,0,0,0.00%,€ 2.38,€ 194.86,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 389,311,14.40%,€ 1.25,"2,161",311,14.40%,"2,161",0,0,0,0.00%,€ 1.25,€ 179.89,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 224,562,3.60%,€ 0.40,"15,618",562,3.60%,"15,618",0,0,0,0.00%,€ 0.40,€ 14.32,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 20,20,8.90%,€ 1.00,225,20,8.90%,225,0,0,0,0.00%,€ 1.00,€ 89.26,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 140,67,8.50%,€ 2.09,786,67,8.50%,786,0,0,0,0.00%,€ 2.09,€ 177.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 423,327,12.90%,€ 1.29,"2,526",327,12.90%,"2,526",0,0,0,0.00%,€ 1.29,€ 167.51,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 265,722,4.20%,€ 0.37,"17,150",722,4.20%,"17,150",0,0,0,0.00%,€ 0.37,€ 15.46,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 22,20,9.00%,€ 1.09,223,20,9.00%,223,0,0,0,0.00%,€ 1.09,€ 97.62,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-24,Conversion,BIO-2024-VDAY,Clicks,€ 191,370,1.10%,€ 0.52,"32,599",370,1.10%,"25,013",0,146,888,2.70%,€ 0.52,€ 5.86,0.00%, € -   ,€ 0.22
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 103,53,6.50%,€ 1.94,817,53,6.50%,817,0,0,0,0.00%,€ 1.94,€ 125.56,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 467,352,15.40%,€ 1.33,"2,293",352,15.40%,"2,293",0,0,0,0.00%,€ 1.33,€ 203.86,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 272,741,4.30%,€ 0.37,"17,202",741,4.30%,"17,202",0,0,0,0.00%,€ 0.37,€ 15.83,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,PMAX_VDAY,Clicks,€ 281,"1,750",2.80%,€ 0.16,"62,334","1,750",2.80%,"62,334",0,0,0,0.00%,€ 0.16,€ 4.50,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 33,27,13.50%,€ 1.24,200,27,13.50%,200,0,0,0,0.00%,€ 1.24,€ 166.91,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,VDAY,Clicks,€ 100,208,4.50%,€ 0.48,"4,608",208,4.50%,"4,608",0,0,0,0.00%,€ 0.48,€ 21.70,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-24,Conversion,BIO-2024-VDAY,Clicks,€ 159,311,1.10%,€ 0.51,"28,609",311,1.10%,"24,463",0,232,"1,370",4.80%,€ 0.51,€ 5.56,0.00%, € -   ,€ 0.12
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 119,61,8.40%,€ 1.96,729,61,8.40%,729,0,0,0,0.00%,€ 1.96,€ 163.70,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 465,361,13.50%,€ 1.29,"2,676",361,13.50%,"2,676",0,0,0,0.00%,€ 1.29,€ 173.78,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 301,798,3.30%,€ 0.38,"24,046",798,3.30%,"24,046",0,0,0,0.00%,€ 0.38,€ 12.51,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,PMAX_VDAY,Clicks,€ 31,208,3.30%,€ 0.15,"6,266",208,3.30%,"6,266",0,0,0,0.00%,€ 0.15,€ 4.91,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 22,15,7.20%,€ 1.45,208,15,7.20%,208,0,0,0,0.00%,€ 1.45,€ 104.66,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,VDAY,Clicks,€ 50,70,2.80%,€ 0.72,"2,524",70,2.80%,"2,524",0,0,0,0.00%,€ 0.72,€ 19.85,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 122,59,8.20%,€ 2.07,719,59,8.20%,719,0,0,0,0.00%,€ 2.07,€ 170.25,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 463,342,13.20%,€ 1.35,"2,596",342,13.20%,"2,596",0,0,0,0.00%,€ 1.35,€ 178.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 231,756,3.30%,€ 0.31,"23,216",756,3.30%,"23,216",0,0,0,0.00%,€ 0.31,€ 9.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 12,11,6.40%,€ 1.12,171,11,6.40%,171,0,0,0,0.00%,€ 1.12,€ 71.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 91,55,7.80%,€ 1.66,703,55,7.80%,703,0,0,0,0.00%,€ 1.66,€ 129.78,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 457,329,12.70%,€ 1.39,"2,581",329,12.70%,"2,581",0,0,0,0.00%,€ 1.39,€ 177.21,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 286,918,3.40%,€ 0.31,"26,672",918,3.40%,"26,672",0,0,0,0.00%,€ 0.31,€ 10.71,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 16,14,9.30%,€ 1.12,150,14,9.30%,150,0,0,0,0.00%,€ 1.12,€ 104.57,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 84,45,7.00%,€ 1.86,640,45,7.00%,640,0,0,0,0.00%,€ 1.86,€ 130.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 376,299,13.80%,€ 1.26,"2,159",299,13.80%,"2,159",0,0,0,0.00%,€ 1.26,€ 174.05,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 315,862,3.30%,€ 0.37,"26,423",862,3.30%,"26,423",0,0,0,0.00%,€ 0.37,€ 11.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 12,13,7.90%,€ 0.95,164,13,7.90%,164,0,0,0,0.00%,€ 0.95,€ 75.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 99,53,8.00%,€ 1.86,663,53,8.00%,663,0,0,0,0.00%,€ 1.86,€ 148.77,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 368,305,12.80%,€ 1.21,"2,374",305,12.80%,"2,374",0,0,0,0.00%,€ 1.21,€ 155.19,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 217,630,2.40%,€ 0.34,"26,197",630,2.40%,"26,197",0,0,0,0.00%,€ 0.34,€ 8.28,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 22,22,12.60%,€ 1.00,175,22,12.60%,175,0,0,0,0.00%,€ 1.00,€ 126.27,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 91,49,7.00%,€ 1.86,700,49,7.00%,700,0,0,0,0.00%,€ 1.86,€ 130.26,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 339,291,13.30%,€ 1.17,"2,188",291,13.30%,"2,188",0,0,0,0.00%,€ 1.17,€ 155.01,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 297,720,2.30%,€ 0.41,"31,046",720,2.30%,"31,046",0,0,0,0.00%,€ 0.41,€ 9.57,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 11,10,5.30%,€ 1.11,190,10,5.30%,190,0,0,0,0.00%,€ 1.11,€ 58.63,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 122,61,7.50%,€ 2.00,811,61,7.50%,811,0,0,0,0.00%,€ 2.00,€ 150.62,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 396,311,13.50%,€ 1.27,"2,298",311,13.50%,"2,298",0,0,0,0.00%,€ 1.27,€ 172.38,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 277,725,2.60%,€ 0.38,"27,722",725,2.60%,"27,722",0,0,0,0.00%,€ 0.38,€ 10.00,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 18,17,9.90%,€ 1.05,171,17,9.90%,171,0,0,0,0.00%,€ 1.05,€ 104.27,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 140,77,8.70%,€ 1.82,890,77,8.70%,890,0,0,0,0.00%,€ 1.82,€ 157.28,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 411,340,13.10%,€ 1.21,"2,589",340,13.10%,"2,589",0,0,0,0.00%,€ 1.21,€ 158.76,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 274,802,2.70%,€ 0.34,"30,227",802,2.70%,"30,227",0,0,0,0.00%,€ 0.34,€ 9.06,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 14,12,7.10%,€ 1.14,168,12,7.10%,168,0,0,0,0.00%,€ 1.14,€ 81.49,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 175,79,8.80%,€ 2.21,899,79,8.80%,899,0,0,0,0.00%,€ 2.21,€ 194.40,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 429,330,13.00%,€ 1.30,"2,532",330,13.00%,"2,532",0,0,0,0.00%,€ 1.30,€ 169.51,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 255,766,2.70%,€ 0.33,"28,496",766,2.70%,"28,496",0,0,0,0.00%,€ 0.33,€ 8.96,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 21,21,9.90%,€ 0.98,213,21,9.90%,213,0,0,0,0.00%,€ 0.98,€ 96.23,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 146,71,8.00%,€ 2.05,884,71,8.00%,884,0,0,0,0.00%,€ 2.05,€ 164.86,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 414,335,12.70%,€ 1.24,"2,633",335,12.70%,"2,633",0,0,0,0.00%,€ 1.24,€ 157.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 265,914,2.80%,€ 0.29,"32,639",914,2.80%,"32,639",0,0,0,0.00%,€ 0.29,€ 8.12,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 16,14,9.00%,€ 1.16,155,14,9.00%,155,0,0,0,0.00%,€ 1.16,€ 104.71,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 91,49,6.30%,€ 1.86,774,49,6.30%,774,0,0,0,0.00%,€ 1.86,€ 117.79,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 398,307,13.30%,€ 1.30,"2,310",307,13.30%,"2,310",0,0,0,0.00%,€ 1.30,€ 172.44,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 285,783,2.70%,€ 0.36,"28,847",783,2.70%,"28,847",0,0,0,0.00%,€ 0.36,€ 9.89,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 26,23,11.90%,€ 1.14,194,23,11.90%,194,0,0,0,0.00%,€ 1.14,€ 134.90,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 87,47,6.70%,€ 1.84,700,47,6.70%,700,0,0,0,0.00%,€ 1.84,€ 123.81,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 398,287,11.50%,€ 1.39,"2,488",287,11.50%,"2,488",0,0,0,0.00%,€ 1.39,€ 159.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 262,814,2.90%,€ 0.32,"28,450",814,2.90%,"28,450",0,0,0,0.00%,€ 0.32,€ 9.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 16,17,8.90%,€ 0.96,191,17,8.90%,191,0,0,0,0.00%,€ 0.96,€ 85.45,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Atoderm_Reinigung,Clicks,€ 151,59,8.10%,€ 2.57,726,59,8.10%,726,0,0,0,0.00%,€ 2.57,€ 208.66,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 425,357,13.50%,€ 1.19,"2,649",357,13.50%,"2,649",0,0,0,0.00%,€ 1.19,€ 160.35,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Performance Max,Clicks,€ 271,833,2.90%,€ 0.33,"29,011",833,2.90%,"29,011",0,0,0,0.00%,€ 0.33,€ 9.36,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Feb-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 13,14,7.10%,€ 0.96,197,14,7.10%,197,0,0,0,0.00%,€ 0.96,€ 67.92,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Atoderm_Reinigung,Clicks,€ 159,75,7.80%,€ 2.12,962,75,7.80%,962,0,0,0,0.00%,€ 2.12,€ 165.57,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 388,330,13.40%,€ 1.18,"2,463",330,13.40%,"2,463",0,0,0,0.00%,€ 1.18,€ 157.59,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Performance Max,Clicks,€ 227,741,2.90%,€ 0.31,"25,243",741,2.90%,"25,243",0,0,0,0.00%,€ 0.31,€ 8.97,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 21,15,6.10%,€ 1.42,245,15,6.10%,245,0,0,0,0.00%,€ 1.42,€ 86.98,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Atoderm_Reinigung,Clicks,€ 181,79,8.60%,€ 2.29,919,79,8.60%,919,0,0,0,0.00%,€ 2.29,€ 196.82,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 411,345,13.20%,€ 1.19,"2,620",345,13.20%,"2,620",0,0,0,0.00%,€ 1.19,€ 156.84,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Performance Max,Clicks,€ 253,747,2.80%,€ 0.34,"26,611",747,2.80%,"26,611",0,0,0,0.00%,€ 0.34,€ 9.50,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 25,19,10.30%,€ 1.29,184,19,10.30%,184,0,0,0,0.00%,€ 1.29,€ 133.53,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Atoderm_Reinigung,Clicks,€ 173,68,6.90%,€ 2.55,979,68,6.90%,979,0,0,0,0.00%,€ 2.55,€ 177.13,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 401,321,12.60%,€ 1.25,"2,554",321,12.60%,"2,554",0,0,0,0.00%,€ 1.25,€ 156.98,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Performance Max,Clicks,€ 260,729,2.90%,€ 0.36,"24,961",729,2.90%,"24,961",0,0,0,0.00%,€ 0.36,€ 10.43,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jan-24,Conversion,Sensibio_H2O_Reinigung,Clicks,€ 21,19,10.50%,€ 1.13,181,19,10.50%,181,0,0,0,0.00%,€ 1.13,€ 118.46,0.00%, € -   , € -   
